Date,Day,Family,Rep,Length,Width,Origin
14-Apr,2,29,9,0.552,0.501,offshore
14-Apr,2,29,10,0.536,0.515,offshore
15-Apr,3,29,1,0.686,0.496,offshore
15-Apr,3,29,2,0.677,0.392,offshore
15-Apr,3,29,3,0.553,0.495,offshore
15-Apr,3,29,4,0.813,0.599,offshore
15-Apr,3,29,5,0.797,0.379,offshore
15-Apr,3,29,6,0.722,0.558,offshore
15-Apr,3,29,7,0.958,0.447,offshore
15-Apr,3,29,8,0.661,0.467,offshore
15-Apr,3,29,9,0.628,0.467,offshore
15-Apr,3,29,10,0.856,0.325,offshore
16-Apr,4,29,1,0.816,0.338,offshore
16-Apr,4,29,2,0.572,0.401,offshore
16-Apr,4,29,3,0.75,0.406,offshore
16-Apr,4,29,4,0.904,0.428,offshore
16-Apr,4,29,5,0.822,0.362,offshore
16-Apr,4,29,6,0.579,0.428,offshore
16-Apr,4,29,7,0.702,0.364,offshore
16-Apr,4,29,8,0.87,0.44,offshore
16-Apr,4,29,9,0.784,0.496,offshore
16-Apr,4,29,10,0.609,0.387,offshore
17-Apr,5,29,1,1.21,0.377,offshore
17-Apr,5,29,2,1.159,0.27,offshore
17-Apr,5,29,3,1.184,0.153,offshore
17-Apr,5,29,4,1.585,0.322,offshore
17-Apr,5,29,5,1.612,0.346,offshore
17-Apr,5,29,6,1.171,0.344,offshore
17-Apr,5,29,7,1.673,0.241,offshore
17-Apr,5,29,8,0.787,0.191,offshore
17-Apr,5,29,9,1.256,0.272,offshore
13-Apr,1,30,1,0.597,0.347,offshore
13-Apr,1,30,2,0.627,0.226,offshore
13-Apr,1,30,3,0.727,0.339,offshore
13-Apr,1,30,4,0.709,0.45,offshore
13-Apr,1,30,5,0.599,0.422,offshore
13-Apr,1,30,6,0.686,0.419,offshore
13-Apr,1,30,7,0.567,0.487,offshore
13-Apr,1,30,8,0.679,0.464,offshore
13-Apr,1,30,9,0.644,0.534,offshore
13-Apr,1,30,10,0.56,0.388,offshore
14-Apr,2,30,1,0.35,0.239,offshore
14-Apr,2,30,2,0.584,0.461,offshore
14-Apr,2,30,3,0.678,0.357,offshore
14-Apr,2,30,4,0.676,0.456,offshore
14-Apr,2,30,5,0.474,0.412,offshore
14-Apr,2,30,6,1.014,0.387,offshore
14-Apr,2,30,7,0.566,0.491,offshore
14-Apr,2,30,8,0.666,0.445,offshore
15-Apr,3,30,1,0.518,0.3,offshore
15-Apr,3,30,2,0.64,0.503,offshore
15-Apr,3,30,3,0.63,0.511,offshore
15-Apr,3,30,4,0.561,0.478,offshore
15-Apr,3,30,5,0.547,0.525,offshore
15-Apr,3,30,6,0.659,0.636,offshore
15-Apr,3,30,7,0.65,0.582,offshore
15-Apr,3,30,8,0.681,0.6,offshore
15-Apr,3,30,9,0.486,0.463,offshore
15-Apr,3,30,10,0.523,0.499,offshore
16-Apr,4,30,1,0.592,0.585,offshore
16-Apr,4,30,2,0.586,0.479,offshore
16-Apr,4,30,3,0.666,0.594,offshore
16-Apr,4,30,4,0.603,0.552,offshore
16-Apr,4,30,5,0.603,0.54,offshore
16-Apr,4,30,6,0.966,0.562,offshore
16-Apr,4,30,7,0.604,0.581,offshore
16-Apr,4,30,8,0.643,0.57,offshore
16-Apr,4,30,9,0.575,0.53,offshore
16-Apr,4,30,10,0.638,0.581,offshore
13-Apr,1,31,1,0.579,0.417,offshore
13-Apr,1,31,2,0.486,0.342,offshore
13-Apr,1,31,3,0.647,0.457,offshore
13-Apr,1,31,4,0.504,0.463,offshore
13-Apr,1,31,5,0.6,0.522,offshore
13-Apr,1,31,6,0.429,0.376,offshore
14-Apr,2,31,1,0.602,0.407,offshore
14-Apr,2,31,2,0.63,0.552,offshore
14-Apr,2,31,3,0.748,0.718,offshore
14-Apr,2,31,4,0.607,0.446,offshore
14-Apr,2,31,5,0.62,0.61,offshore
14-Apr,2,31,6,0.573,0.57,offshore
14-Apr,2,31,7,0.653,0.567,offshore
14-Apr,2,31,8,0.589,0.487,offshore
14-Apr,2,31,9,0.533,0.398,offshore
15-Apr,3,31,1,0.537,0.432,offshore
15-Apr,3,31,2,0.685,0.464,offshore
15-Apr,3,31,3,0.678,0.495,offshore
15-Apr,3,31,4,0.553,0.528,offshore
15-Apr,3,31,5,0.566,0.553,offshore
15-Apr,3,31,6,0.512,0.491,offshore
15-Apr,3,31,7,0.59,0.485,offshore
15-Apr,3,31,8,0.556,0.506,offshore
15-Apr,3,31,9,0.573,0.495,offshore
15-Apr,3,31,10,0.626,0.482,offshore
16-Apr,4,31,1,0.618,0.507,offshore
16-Apr,4,31,2,0.585,0.537,offshore
16-Apr,4,31,3,0.448,0.339,offshore
16-Apr,4,31,4,0.587,0.393,offshore
16-Apr,4,31,5,0.577,0.311,offshore
16-Apr,4,31,6,0.536,0.518,offshore
16-Apr,4,31,7,0.615,0.495,offshore
16-Apr,4,31,8,0.641,0.511,offshore
16-Apr,4,31,9,0.7,0.676,offshore
17-Apr,5,31,1,0.551,0.48,offshore
17-Apr,5,31,2,0.546,0.408,offshore
17-Apr,5,31,3,0.542,0.537,offshore
17-Apr,5,31,4,0.695,0.537,offshore
17-Apr,5,31,5,0.735,0.537,offshore
17-Apr,5,31,6,0.487,0.44,offshore
17-Apr,5,31,7,0.573,0.506,offshore
17-Apr,5,31,8,0.636,0.496,offshore
17-Apr,5,31,9,0.686,0.627,offshore
17-Apr,5,31,10,0.725,0.458,offshore
15-Apr,3,33,1,0.709,0.514,offshore
15-Apr,3,33,2,0.849,0.543,offshore
15-Apr,3,33,3,0.645,0.632,offshore
15-Apr,3,33,4,0.664,0.528,offshore
15-Apr,3,33,5,0.603,0.469,offshore
15-Apr,3,33,6,0.727,0.482,offshore
15-Apr,3,33,7,0.522,0.414,offshore
15-Apr,3,33,8,0.711,0.369,offshore
15-Apr,3,33,9,0.759,0.369,offshore
15-Apr,3,33,10,0.556,0.427,offshore
15-Apr,3,35,1,0.501,0.361,offshore
15-Apr,3,35,2,0.464,0.388,offshore
15-Apr,3,35,3,0.513,0.464,offshore
15-Apr,3,35,4,0.614,0.588,offshore
15-Apr,3,35,5,0.631,0.431,offshore
15-Apr,3,35,6,0.56,0.518,offshore
15-Apr,3,35,7,0.738,0.592,offshore
15-Apr,3,35,8,0.625,0.491,offshore
15-Apr,3,35,9,0.397,0.347,offshore
16-Apr,4,35,1,0.433,0.391,offshore
16-Apr,4,35,2,0.397,0.385,offshore
16-Apr,4,35,3,0.77,0.514,offshore
16-Apr,4,35,4,0.554,0.529,offshore
16-Apr,4,35,5,0.617,0.39,offshore
16-Apr,4,35,6,0.691,0.581,offshore
16-Apr,4,35,7,0.595,0.517,offshore
16-Apr,4,35,8,0.619,0.602,offshore
16-Apr,4,35,9,0.503,0.485,offshore
16-Apr,4,35,10,0.642,0.517,offshore
15-Apr,3,37,1,0.667,0.578,offshore
15-Apr,3,37,2,0.667,0.604,offshore
15-Apr,3,37,3,0.614,0.555,offshore
15-Apr,3,37,4,0.648,0.511,offshore
15-Apr,3,37,5,0.689,0.507,offshore
15-Apr,3,37,6,0.69,0.648,offshore
15-Apr,3,37,7,0.736,0.614,offshore
15-Apr,3,37,8,0.618,0.613,offshore
15-Apr,3,37,9,0.694,0.573,offshore
16-Apr,4,37,1,0.531,0.384,offshore
16-Apr,4,37,2,0.572,0.543,offshore
16-Apr,4,37,3,0.669,0.601,offshore
16-Apr,4,37,4,0.591,0.548,offshore
16-Apr,4,37,5,0.573,0.51,offshore
16-Apr,4,37,6,0.675,0.349,offshore
16-Apr,4,37,7,0.794,0.701,offshore
16-Apr,4,37,8,0.714,0.583,offshore
16-Apr,4,37,9,0.552,0.475,offshore
15-Apr,3,38,1,0.664,0.559,offshore
15-Apr,3,38,2,0.545,0.424,offshore
15-Apr,3,38,3,0.561,0.485,offshore
15-Apr,3,38,4,0.518,0.444,offshore
15-Apr,3,38,5,0.821,0.538,offshore
