n,"Date Time, GMT-04:00",Temp ,Treat,Rep
283,04/18/18 10:00:00 AM,23.869,Ctrl,B
284,04/18/18 10:10:00 AM,23.869,Ctrl,B
285,04/18/18 10:20:00 AM,23.869,Ctrl,B
286,04/18/18 10:30:00 AM,23.869,Ctrl,B
287,04/18/18 10:40:00 AM,23.773,Ctrl,B
288,04/18/18 10:50:00 AM,23.869,Ctrl,B
289,04/18/18 11:00:00 AM,23.773,Ctrl,B
290,04/18/18 11:10:00 AM,23.773,Ctrl,B
291,04/18/18 11:20:00 AM,23.773,Ctrl,B
292,04/18/18 11:30:00 AM,23.773,Ctrl,B
293,04/18/18 11:40:00 AM,23.773,Ctrl,B
294,04/18/18 11:50:00 AM,23.773,Ctrl,B
295,04/18/18 12:00:00 PM,23.773,Ctrl,B
296,04/18/18 12:10:00 PM,23.773,Ctrl,B
297,04/18/18 12:20:00 PM,23.773,Ctrl,B
298,04/18/18 12:30:00 PM,23.773,Ctrl,B
299,04/18/18 12:40:00 PM,23.773,Ctrl,B
300,04/18/18 12:50:00 PM,23.773,Ctrl,B
301,04/18/18 01:00:00 PM,23.773,Ctrl,B
302,04/18/18 01:10:00 PM,23.773,Ctrl,B
303,04/18/18 01:20:00 PM,23.773,Ctrl,B
304,04/18/18 01:30:00 PM,23.773,Ctrl,B
305,04/18/18 01:40:00 PM,23.773,Ctrl,B
306,04/18/18 01:50:00 PM,23.773,Ctrl,B
307,04/18/18 02:00:00 PM,23.773,Ctrl,B
308,04/18/18 02:10:00 PM,23.773,Ctrl,B
309,04/18/18 02:20:00 PM,23.773,Ctrl,B
310,04/18/18 02:30:00 PM,23.773,Ctrl,B
311,04/18/18 02:40:00 PM,23.773,Ctrl,B
312,04/18/18 02:50:00 PM,23.773,Ctrl,B
313,04/18/18 03:00:00 PM,23.773,Ctrl,B
314,04/18/18 03:10:00 PM,23.773,Ctrl,B
315,04/18/18 03:20:00 PM,23.773,Ctrl,B
316,04/18/18 03:30:00 PM,23.773,Ctrl,B
317,04/18/18 03:40:00 PM,23.773,Ctrl,B
318,04/18/18 03:50:00 PM,23.773,Ctrl,B
319,04/18/18 04:00:00 PM,23.773,Ctrl,B
320,04/18/18 04:10:00 PM,23.773,Ctrl,B
321,04/18/18 04:20:00 PM,23.773,Ctrl,B
322,04/18/18 04:30:00 PM,23.869,Ctrl,B
323,04/18/18 04:40:00 PM,23.869,Ctrl,B
324,04/18/18 04:50:00 PM,23.869,Ctrl,B
325,04/18/18 05:00:00 PM,23.869,Ctrl,B
326,04/18/18 05:10:00 PM,23.966,Ctrl,B
327,04/18/18 05:20:00 PM,23.966,Ctrl,B
328,04/18/18 05:30:00 PM,23.966,Ctrl,B
329,04/18/18 05:40:00 PM,23.966,Ctrl,B
330,04/18/18 05:50:00 PM,24.062,Ctrl,B
331,04/18/18 06:00:00 PM,24.062,Ctrl,B
332,04/18/18 06:10:00 PM,24.062,Ctrl,B
