n,"Date Time, GMT-04:00",Temp,Treat
253,04/19/18 04:30:00 AM,37.824,Heat
254,04/19/18 04:40:00 AM,37.935,Heat
255,04/19/18 04:50:00 AM,37.935,Heat
256,04/19/18 05:00:00 AM,38.046,Heat
257,04/19/18 05:10:00 AM,38.046,Heat
258,04/19/18 05:20:00 AM,37.935,Heat
259,04/19/18 05:30:00 AM,38.046,Heat
260,04/19/18 05:40:00 AM,38.046,Heat
261,04/19/18 05:50:00 AM,38.046,Heat
262,04/19/18 06:00:00 AM,38.046,Heat
263,04/19/18 06:10:00 AM,38.046,Heat
264,04/19/18 06:20:00 AM,38.046,Heat
265,04/19/18 06:30:00 AM,37.935,Heat
266,04/19/18 06:40:00 AM,37.935,Heat
267,04/19/18 06:50:00 AM,38.046,Heat
268,04/19/18 07:00:00 AM,38.046,Heat
269,04/19/18 07:10:00 AM,37.824,Heat
270,04/19/18 07:20:00 AM,37.935,Heat
271,04/19/18 07:30:00 AM,37.824,Heat
272,04/19/18 07:40:00 AM,37.935,Heat
273,04/19/18 07:50:00 AM,37.935,Heat
274,04/19/18 08:00:00 AM,37.935,Heat
275,04/19/18 08:10:00 AM,38.046,Heat
276,04/19/18 08:20:00 AM,37.824,Heat
277,04/19/18 08:30:00 AM,37.714,Heat
278,04/19/18 08:40:00 AM,37.714,Heat
279,04/19/18 08:50:00 AM,37.714,Heat
280,04/19/18 09:00:00 AM,37.604,Heat
281,04/19/18 09:10:00 AM,37.604,Heat
282,04/19/18 09:20:00 AM,37.714,Heat
283,04/19/18 09:30:00 AM,37.604,Heat
284,04/19/18 09:40:00 AM,37.604,Heat
285,04/19/18 09:50:00 AM,37.494,Heat
286,04/19/18 10:00:00 AM,37.604,Heat
287,04/19/18 10:10:00 AM,37.604,Heat
288,04/19/18 10:20:00 AM,37.384,Heat
289,04/19/18 10:30:00 AM,37.494,Heat
290,04/19/18 10:40:00 AM,37.384,Heat
291,04/19/18 10:50:00 AM,37.384,Heat
292,04/19/18 11:00:00 AM,37.384,Heat
293,04/19/18 11:10:00 AM,37.384,Heat
294,04/19/18 11:20:00 AM,37.494,Heat
295,04/19/18 11:30:00 AM,37.384,Heat
296,04/19/18 11:40:00 AM,37.384,Heat
297,04/19/18 11:50:00 AM,37.384,Heat
298,04/19/18 12:00:00 PM,37.384,Heat
299,04/19/18 12:10:00 PM,37.274,Heat
300,04/19/18 12:20:00 PM,37.384,Heat
301,04/19/18 12:30:00 PM,37.494,Heat
302,04/19/18 12:40:00 PM,37.274,Heat
303,04/19/18 12:50:00 PM,37.384,Heat
304,04/19/18 01:00:00 PM,37.274,Heat
305,04/19/18 01:10:00 PM,37.384,Heat
306,04/19/18 01:20:00 PM,37.274,Heat
307,04/19/18 01:30:00 PM,37.384,Heat
308,04/19/18 01:40:00 PM,37.604,Heat
309,04/19/18 01:50:00 PM,37.714,Heat
310,04/19/18 02:00:00 PM,37.714,Heat
311,04/19/18 02:10:00 PM,37.935,Heat
312,04/19/18 02:20:00 PM,38.046,Heat
313,04/19/18 02:30:00 PM,38.046,Heat
314,04/19/18 02:40:00 PM,38.157,Heat
315,04/19/18 02:50:00 PM,38.379,Heat
316,04/19/18 03:00:00 PM,38.379,Heat
317,04/19/18 03:10:00 PM,38.379,Heat
318,04/19/18 03:20:00 PM,38.49,Heat
319,04/19/18 03:30:00 PM,38.602,Heat
320,04/19/18 03:40:00 PM,38.602,Heat
321,04/19/18 03:50:00 PM,38.602,Heat
322,04/19/18 04:00:00 PM,38.49,Heat
323,04/19/18 04:10:00 PM,38.602,Heat
324,04/19/18 04:20:00 PM,38.49,Heat
325,04/19/18 04:30:00 PM,38.379,Heat
326,04/19/18 04:40:00 PM,38.379,Heat
327,04/19/18 04:50:00 PM,38.157,Heat
328,04/19/18 05:00:00 PM,38.268,Heat
329,04/19/18 05:10:00 PM,38.046,Heat
330,04/19/18 05:20:00 PM,38.046,Heat
331,04/19/18 05:30:00 PM,37.935,Heat
332,04/19/18 05:40:00 PM,33.43,Heat
333,04/19/18 05:50:00 PM,27.665,Heat
334,04/19/18 06:00:00 PM,25.708,Heat
335,04/19/18 06:10:00 PM,24.931,Heat
336,04/19/18 06:20:00 PM,24.448,Heat
337,04/19/18 06:30:00 PM,22.525,Heat
338,04/19/18 06:40:00 PM,21.855,Heat
339,04/19/18 06:50:00 PM,21.855,Heat
